STATION,STATION_NAME,DATE,HLY-DEWP-NORMAL,HLY-HIDX-NORMAL,HLY-TEMP-NORMAL,HLY-WCHL-NORMAL,HLY-WIND-AVGSPD
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100322 18:00,329,531,529,504,120
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100322 19:00,329,511,511,483,111
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100322 20:00,332,498,497,467,105
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100322 21:00,333,484,484,450,101
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100322 22:00,331,475,474,439,99
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100322 23:00,332,466,465,429,97
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100323 00:00,334,458,457,418,96
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100323 01:00,333,450,450,410,94
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100323 02:00,333,444,443,403,93
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100323 03:00,332,437,437,395,91
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100323 04:00,331,432,431,387,91
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100323 05:00,329,426,425,380,90
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100323 06:00,328,423,421,377,89
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100323 07:00,331,426,426,380,92
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100323 08:00,335,446,446,400,101
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100323 09:00,336,469,468,427,110
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100323 10:00,336,489,488,452,113
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100323 11:00,335,510,509,481,115
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100323 12:00,337,527,525,501,116
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100323 13:00,337,541,541,518,119
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100323 14:00,335,553,551,533,121
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100323 15:00,335,557,556,537,123
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100323 16:00,334,555,554,535,125
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100323 17:00,336,550,548,528,123
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100323 18:00,334,534,533,510,119
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100323 19:00,333,515,514,488,110
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100323 20:00,336,502,500,472,105
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100323 21:00,338,487,487,454,100
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100323 22:00,337,479,478,445,98
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100323 23:00,337,470,469,434,95
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100324 00:00,339,461,460,423,95
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100324 01:00,338,454,453,414,94
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100324 02:00,338,448,446,407,92
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100324 03:00,337,441,440,399,90
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100324 04:00,336,435,433,391,89
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100324 05:00,335,429,428,385,89
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100324 06:00,333,426,425,382,88
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100324 07:00,336,429,429,385,91
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100324 08:00,340,450,450,406,100
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100324 09:00,342,474,472,434,109
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100324 10:00,342,493,492,459,112
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100324 11:00,341,514,513,486,114
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100324 12:00,342,531,529,506,117
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100324 13:00,342,545,545,524,119
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100324 14:00,341,556,555,537,120
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100324 15:00,340,561,559,542,122
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100324 16:00,340,559,558,540,125
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100324 17:00,341,553,552,533,123
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100324 18:00,339,537,537,513,118
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100324 19:00,338,519,518,493,110
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100324 20:00,342,506,505,477,104
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100324 21:00,343,491,491,459,100
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100324 22:00,342,483,482,450,97
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100324 23:00,342,474,473,439,94
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100325 00:00,344,465,464,429,94
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100325 01:00,343,458,457,420,93
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100325 02:00,343,451,450,412,91
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100325 03:00,342,445,444,405,90
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100325 04:00,341,439,438,397,88
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100325 05:00,340,433,433,391,88
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100325 06:00,338,430,429,387,88
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100325 07:00,342,434,434,391,90
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100325 08:00,346,455,454,413,99
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100325 09:00,347,478,477,440,109
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100325 10:00,348,499,498,467,112
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100325 11:00,347,520,519,493,114
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100325 12:00,348,536,535,513,117
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100325 13:00,347,551,550,531,119
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100325 14:00,346,562,561,544,121
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100325 15:00,346,567,565,549,122
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100325 16:00,346,564,563,546,124
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100325 17:00,346,558,557,539,124
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100325 18:00,345,542,541,520,118
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100325 19:00,344,524,523,499,109
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100325 20:00,348,510,509,483,103
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100325 21:00,350,496,496,466,98
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100325 22:00,349,488,487,458,95
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100325 23:00,349,479,478,446,93
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100326 00:00,351,470,469,435,93
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100326 01:00,349,462,462,426,91
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100326 02:00,349,455,455,418,89
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100326 03:00,348,450,449,412,88
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100326 04:00,347,444,443,405,87
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100326 05:00,346,439,438,398,87
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100326 06:00,345,435,434,394,87
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100326 07:00,348,440,440,399,90
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100326 08:00,352,461,460,421,99
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100326 09:00,353,484,483,448,109
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100326 10:00,354,505,504,475,112
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100326 11:00,353,526,525,501,115
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100326 12:00,354,542,542,521,117
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100326 13:00,354,558,557,539,120
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100326 14:00,352,568,568,551,121
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100326 15:00,351,573,572,557,122
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100326 16:00,350,571,570,554,125
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100326 17:00,352,564,563,546,126
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100326 18:00,350,548,548,526,119
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100326 19:00,347,528,528,505,109
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100326 20:00,351,515,514,488,104
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100326 21:00,353,501,501,472,98
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100326 22:00,353,493,492,463,95
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100326 23:00,354,483,482,451,93
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100327 00:00,355,474,473,441,93
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100327 01:00,354,466,466,432,90
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100327 02:00,353,459,459,424,88
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100327 03:00,353,453,453,417,87
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100327 04:00,353,448,448,410,86
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100327 05:00,352,443,442,403,86
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100327 06:00,350,439,438,399,86
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100327 07:00,354,445,445,406,89
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100327 08:00,358,467,466,429,98
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100327 09:00,359,489,489,455,108
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100327 10:00,360,511,510,483,112
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100327 11:00,359,532,532,508,115
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100327 12:00,360,549,548,528,118
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100327 13:00,360,565,564,547,121
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100327 14:00,359,575,575,559,122
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100327 15:00,358,581,580,565,124
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100327 16:00,357,577,577,562,126
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100327 17:00,358,571,570,553,126
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100327 18:00,355,555,555,534,119
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100327 19:00,352,534,534,512,109
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100327 20:00,356,520,519,494,105
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100327 21:00,358,507,506,479,99
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100327 22:00,358,498,497,470,96
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100327 23:00,358,488,487,457,93
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100328 00:00,359,479,479,447,93
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100328 01:00,359,472,472,439,90
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100328 02:00,359,465,465,431,88
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100328 03:00,359,459,458,424,88
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100328 04:00,357,453,452,416,86
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100328 05:00,357,448,448,410,87
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100328 06:00,354,444,443,405,87
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100328 07:00,359,451,451,413,90
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100328 08:00,363,472,471,436,98
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100328 09:00,363,494,494,461,108
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100328 10:00,364,517,516,490,113
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100328 11:00,365,538,538,515,116
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100328 12:00,365,554,554,535,120
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100328 13:00,365,571,570,555,122
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100328 14:00,364,581,581,566,123
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100328 15:00,364,586,586,572,124
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100328 16:00,362,583,583,568,127
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100328 17:00,363,576,576,560,127
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100328 18:00,361,560,560,540,120
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100328 19:00,356,539,539,517,109
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100328 20:00,360,525,524,500,105
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100328 21:00,363,511,511,484,99
